Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[MirrorSceneDataset] Found 1000 scenes in data/synthetic/train
[MirrorSceneDataset] Found 200 scenes in data/synthetic/val
[DualHeadVGGT] Total params: 1354.5M
[DualHeadVGGT] Trainable params: 163.9M
[DualHeadVGGT] Frozen params: 1190.6M
============================================================
Starting Dual-Head Layered Baseline
  Train scenes: 1000
  Val scenes: 200
  Epochs: 20
  Device: cuda
============================================================
/mnt/afs/zhengmingkai/miniconda3/envs/rdh/lib/python3.12/site-packages/torch/nn/functional.py:6001: UserWarning: 1Torch was not compiled with memory efficient attention. (Triggered internally at /workspace/framework/mcPytorch/aten/src/ATen/native/transformers/cuda/sdp_utils.cpp:738.)
  return _scaled_dot_product_attention(query, key, value, attn_mask, dropout_p, is_causal, scale = scale, enable_gqa = enable_gqa)
[Epoch 2/20] Step 260/1000 | Loss: 4.2098 | L_primary: 2.2181 | L_secondary: 2.9109 | L_mask: 0.0733
[Epoch 2/20] Step 270/1000 | Loss: 3.3576 | L_primary: 1.9904 | L_secondary: 2.2637 | L_mask: 0.0677
[Epoch 2/20] Step 280/1000 | Loss: 2.9967 | L_primary: 2.3225 | L_secondary: 1.3461 | L_mask: 0.0225
[Epoch 2/20] Step 290/1000 | Loss: 3.5147 | L_primary: 1.7003 | L_secondary: 1.9509 | L_mask: 0.1777
[Epoch 2/20] Step 300/1000 | Loss: 3.8707 | L_primary: 0.8408 | L_secondary: 1.2629 | L_mask: 0.0829
[Epoch 2/20] Step 310/1000 | Loss: 3.3328 | L_primary: 1.3514 | L_secondary: 1.6473 | L_mask: 0.1324
[Epoch 2/20] Step 320/1000 | Loss: 3.2191 | L_primary: 1.1102 | L_secondary: 1.1289 | L_mask: 0.0467
[Epoch 2/20] Step 330/1000 | Loss: 3.6231 | L_primary: 2.3243 | L_secondary: 2.2862 | L_mask: 0.0726
[Epoch 2/20] Step 340/1000 | Loss: 3.2166 | L_primary: 0.9374 | L_secondary: 1.0843 | L_mask: 0.0558
[Epoch 2/20] Step 350/1000 | Loss: 3.9435 | L_primary: 2.7701 | L_secondary: 2.9321 | L_mask: 0.0881
[Epoch 2/20] Step 360/1000 | Loss: 3.2073 | L_primary: 0.8354 | L_secondary: 1.3612 | L_mask: 0.1155
[Epoch 2/20] Step 370/1000 | Loss: 3.8951 | L_primary: 2.0844 | L_secondary: 1.9048 | L_mask: 0.1849
[Epoch 2/20] Step 380/1000 | Loss: 3.8056 | L_primary: 1.4277 | L_secondary: 1.4254 | L_mask: 0.1094
[Epoch 2/20] Step 390/1000 | Loss: 3.3913 | L_primary: 1.2097 | L_secondary: 1.0741 | L_mask: 0.1722
[Epoch 2/20] Step 400/1000 | Loss: 3.0483 | L_primary: 2.1324 | L_secondary: 2.5507 | L_mask: 0.1474
[Epoch 2/20] Step 410/1000 | Loss: 3.3886 | L_primary: 2.1920 | L_secondary: 2.2591 | L_mask: 0.1152
[Epoch 2/20] Step 420/1000 | Loss: 3.1197 | L_primary: 0.8408 | L_secondary: 1.2664 | L_mask: 0.1622
[Epoch 2/20] Step 430/1000 | Loss: 3.6288 | L_primary: 2.4303 | L_secondary: 2.9918 | L_mask: 0.0250
[Epoch 2/20] Step 440/1000 | Loss: 3.3798 | L_primary: 0.9275 | L_secondary: 1.0814 | L_mask: 0.0805
[Epoch 2/20] Step 450/1000 | Loss: 3.4085 | L_primary: 1.8666 | L_secondary: 2.2450 | L_mask: 0.1020
[Epoch 2/20] Step 460/1000 | Loss: 3.7818 | L_primary: 1.6462 | L_secondary: 1.4529 | L_mask: 0.0476
[Epoch 2/20] Step 470/1000 | Loss: 3.2367 | L_primary: 1.3064 | L_secondary: 1.0083 | L_mask: 0.0270
[Epoch 2/20] Step 480/1000 | Loss: 3.8580 | L_primary: 1.3616 | L_secondary: 1.5061 | L_mask: 0.1043
[Epoch 2/20] Step 490/1000 | Loss: 3.3134 | L_primary: 1.6733 | L_secondary: 1.6857 | L_mask: 0.0647
[Epoch 2/20] Step 500/1000 | Loss: 3.4459 | L_primary: 1.3316 | L_secondary: 1.6467 | L_mask: 0.0499
[Epoch 2/20] Step 510/1000 | Loss: 3.6441 | L_primary: 2.0688 | L_secondary: 2.5245 | L_mask: 0.0505
[Epoch 2/20] Step 520/1000 | Loss: 3.0491 | L_primary: 0.8240 | L_secondary: 1.0135 | L_mask: 0.0448
[Epoch 2/20] Step 530/1000 | Loss: 3.6540 | L_primary: 2.0656 | L_secondary: 2.1088 | L_mask: 0.0464
[Epoch 2/20] Step 540/1000 | Loss: 4.0453 | L_primary: 1.9712 | L_secondary: 2.6453 | L_mask: 0.1001
[Epoch 2/20] Step 550/1000 | Loss: 3.1142 | L_primary: 0.8692 | L_secondary: 0.9877 | L_mask: 0.0693
[Epoch 2/20] Step 560/1000 | Loss: 3.1336 | L_primary: 1.5259 | L_secondary: 1.6295 | L_mask: 0.0508
[Epoch 2/20] Step 570/1000 | Loss: 4.2647 | L_primary: 2.3977 | L_secondary: 3.0216 | L_mask: 0.1254
[Epoch 2/20] Step 580/1000 | Loss: 3.9604 | L_primary: 2.1219 | L_secondary: 2.5057 | L_mask: 0.0783
[Epoch 2/20] Step 590/1000 | Loss: 3.7518 | L_primary: 2.0490 | L_secondary: 2.1453 | L_mask: 0.0718
[Epoch 2/20] Step 600/1000 | Loss: 3.6524 | L_primary: 1.6261 | L_secondary: 2.5643 | L_mask: 0.0919
[Epoch 2/20] Step 610/1000 | Loss: 3.5488 | L_primary: 1.5351 | L_secondary: 2.0009 | L_mask: 0.1795
[Epoch 2/20] Step 620/1000 | Loss: 3.8944 | L_primary: 1.2490 | L_secondary: 1.1063 | L_mask: 0.1403
[Epoch 2/20] Step 630/1000 | Loss: 3.2593 | L_primary: 0.9516 | L_secondary: 1.5513 | L_mask: 0.0446
[Epoch 2/20] Step 640/1000 | Loss: 3.2781 | L_primary: 0.7935 | L_secondary: 2.2477 | L_mask: 0.1715
[Epoch 2/20] Step 650/1000 | Loss: 3.2956 | L_primary: 2.0154 | L_secondary: 2.0829 | L_mask: 0.2224
[Epoch 2/20] Step 660/1000 | Loss: 3.5146 | L_primary: 0.9281 | L_secondary: 1.2156 | L_mask: 0.1122
[Epoch 2/20] Step 670/1000 | Loss: 3.0177 | L_primary: 1.1816 | L_secondary: 1.3447 | L_mask: 0.1820
[Epoch 2/20] Step 680/1000 | Loss: 3.7180 | L_primary: 1.4106 | L_secondary: 1.5268 | L_mask: 0.0716
[Epoch 2/20] Step 690/1000 | Loss: 3.2997 | L_primary: 1.0935 | L_secondary: 1.3656 | L_mask: 0.1146
[Epoch 2/20] Step 700/1000 | Loss: 3.2813 | L_primary: 1.6888 | L_secondary: 1.9120 | L_mask: 0.1232
[Epoch 2/20] Step 710/1000 | Loss: 3.2329 | L_primary: 1.2489 | L_secondary: 1.6576 | L_mask: 0.1600
